MP name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,First part of the Postcode,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Startup spend,Remaining startup budget,Wind-up maximum budget available,Reason for budget set,Windup spend,Remaining windup budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Did the MP rent their accommodation from another MP during this financial year?,Accommodation spend,Remaining budget,First part of the Postcode,Travel/subsistence max budget,Travel/subs spend,Other costs maximum budget available,Other spend,Subtotal of other parliamentary costs,Overall total spend for this financial year
"Adam Afriyie","Windsor CC","","","£0.00","£0.00","","","","£69,852.96","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£69,852.96","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£69,852.96"
"Adam Holloway","Gravesham CC","","","£20,425.86","£0.00","","","","£110,771.63","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£131,197.49","","","","£182.95","£0.00","","Uncapped","£8,623.45","Uncapped","£0.00","£8,806.40","£140,003.89"
"Adrian Bailey","West Bromwich West BC","","","£18,311.73","£0.00","","","","£111,434.86","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£129,746.59","","","","£11,983.59","£0.00","","Uncapped","£3,381.95","Uncapped","£0.00","£15,365.54","£145,112.13"
"Adrian Sanders","Torbay BC","","","£18,247.03","£0.00","","","","£109,946.08","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£128,193.11","","","","£16,919.60","£0.00","","Uncapped","£9,182.88","Uncapped","£0.00","£26,102.48","£154,295.59"
"Aidan Burley","Cannock Chase CC","","","£28,344.41","£0.00","","","","£112,392.97","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£140,737.38","","","","£18,832.69","£0.00","","Uncapped","£3,934.13","Uncapped","£116.80","£22,883.62","£163,621.00"
"Alan Beith","Berwick-upon-Tweed CC","","","£21,215.23","£0.00","","","","£116,121.51","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£137,336.74","","","","£11,015.65","£0.00","","Uncapped","£13,866.14","Uncapped","£0.00","£24,881.79","£162,218.53"
"Alan Campbell","Tynemouth BC","","","£19,660.24","£0.00","","","","£80,252.49","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£99,912.73","","","","£4,798.67","£0.00","","Uncapped","£13,516.35","Uncapped","£218.40","£18,533.42","£118,446.15"
"Alan Duncan","Rutland and Melton CC","","","£21,330.93","£0.00","","","","£111,474.70","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£132,805.63","","","","£17,361.29","£0.00","","Uncapped","£4,813.15","Uncapped","£0.00","£22,174.44","£154,980.07"
"Alan Haselhurst","Saffron Walden CC","","","£17,744.39","£0.00","","","","£79,902.25","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£97,646.64","","","","£12,716.74","£0.00","","Uncapped","£3,806.15","Uncapped","£0.00","£16,522.89","£114,169.53"
"Alan Johnson","Kingston upon Hull West and Hessle BC","","","£12,046.24","£0.00","","","","£116,462.31","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£128,508.55","","","","£11,624.22","£0.00","","Uncapped","£6,531.80","Uncapped","£0.00","£18,156.02","£146,664.57"
"Alan Keen","Feltham and Heston BC","","","£8,250.69","£0.00","","","","£63,347.53","£0.00","n/a","","£0.00","£0.00","n/a","","£49,461.20","£0.00","£121,059.42","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£121,059.42"
"Alan Meale","Mansfield CC","","","£17,738.97","£0.00","","","","£104,420.64","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£122,159.61","","","","£7,108.66","£0.00","","Uncapped","£10,074.47","Uncapped","£0.00","£17,183.13","£139,342.74"
"Alan Reid","Argyll and Bute CC","","","£21,500.00","£0.00","","","","£101,828.60","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£123,328.60","","","","£11,389.00","£0.00","","Uncapped","£23,709.65","Uncapped","£0.00","£35,098.65","£158,427.25"
"Alan Whitehead","Southampton, Test BC","","","£21,118.51","£0.00","","","","£106,384.05","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£127,502.56","","","","£7,414.87","£0.00","","Uncapped","£4,150.18","Uncapped","£0.00","£11,565.05","£139,067.61"
"Alasdair McDonnell","Belfast South","","","£19,221.40","£0.00","","","","£114,883.08","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£134,104.48","","","","£3,100.00","£0.00","","Uncapped","£16,337.41","Uncapped","£0.00","£19,437.41","£153,541.89"
"Albert Owen","Ynys Môn CC","","","£14,509.13","£0.00","","","","£108,886.08","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£123,395.21","","","","£19,900.00","£0.00","","Uncapped","£3,993.55","Uncapped","£0.00","£23,893.55","£147,288.76"
"Alec Shelbrooke","Elmet and Rothwell CC","","","£11,199.94","£0.00","","","","£99,010.36","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£110,210.30","","","","£17,194.71","£0.00","","Uncapped","£8,325.41","Uncapped","£0.00","£25,520.12","£135,730.42"
"Alex Cunningham","Stockton North BC","","","£15,064.16","£0.00","","","","£112,526.77","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£127,590.93","","","","£17,259.11","£0.00","","Uncapped","£5,760.55","Uncapped","£0.00","£23,019.66","£150,610.59"
"Alison McGovern","Wirral South CC","","","£21,018.72","£0.00","","","","£115,280.82","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£136,299.54","","","","£10,142.13","£0.00","","Uncapped","£8,049.70","Uncapped","£0.00","£18,191.83","£154,491.37"
"Alison Seabeck","Plymouth, Moor View BC","","","£9,903.09","£0.00","","","","£111,584.41","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£121,487.50","","","","£11,276.21","£0.00","","Uncapped","£10,389.70","Uncapped","£0.00","£21,665.91","£143,153.41"
"Alistair Burt","North East Bedfordshire CC","","","£6,907.80","£0.00","","","","£107,509.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£114,416.80","","","","£19,241.01","£0.00","","Uncapped","£4,206.85","Uncapped","£0.00","£23,447.86","£137,864.66"
"Alistair Carmichael","Orkney and Shetland CC","","","£30,921.51","£0.00","","","","£103,686.76","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£134,608.27","","","","£12,396.00","£0.00","","Uncapped","£51,026.08","Uncapped","£162.02","£63,584.10","£198,192.37"
"Alistair Darling","Edinburgh South West BC","","","£14,616.09","£0.00","","","","£100,654.32","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£115,270.41","","","","£19,865.67","£0.00","","Uncapped","£10,411.65","Uncapped","£468.00","£30,745.32","£146,015.73"
"Alok Sharma","Reading West CC","","","£14,499.76","£0.00","","","","£101,915.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£116,414.76","","","","£0.00","£0.00","","Uncapped","£6,043.10","Uncapped","£0.00","£6,043.10","£122,457.86"
"Alun Cairns","Vale of Glamorgan CC","","","£21,993.41","£0.00","","","","£109,914.40","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£131,907.81","","","","£19,269.76","£0.00","","Uncapped","£14,629.95","Uncapped","£0.00","£33,899.71","£165,807.52"
"Alun Michael","Cardiff South and Penarth BC","","","£21,499.43","£0.00","","","","£123,860.37","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£145,359.80","","","","£16,767.92","£0.00","","Uncapped","£6,414.90","Uncapped","£0.00","£23,182.82","£168,542.62"
"Amber Rudd","Hastings and Rye CC","","","£20,016.73","£0.00","","","","£97,369.66","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£117,386.39","","","","£9,776.51","£0.00","","Uncapped","£1,772.16","Uncapped","£301.86","£11,850.53","£129,236.92"
"Anas Sarwar","Glasgow Central BC","","","£18,317.55","£0.00","","","","£106,115.28","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£124,432.83","","","","£21,033.33","£0.00","","Uncapped","£12,690.11","Uncapped","£0.00","£33,723.44","£158,156.27"
"Andrea Leadsom","South Northamptonshire CC","","","£19,305.44","£0.00","","","","£105,144.27","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£124,449.71","","","","£0.00","£0.00","","Uncapped","£2,795.35","Uncapped","£0.00","£2,795.35","£127,245.06"
"Andrew Bingham","High Peak CC","","","£14,735.21","£0.00","","","","£102,421.19","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£117,156.40","","","","£19,900.00","£0.00","","Uncapped","£7,250.69","Uncapped","£0.00","£27,150.69","£144,307.09"
"Andrew Bridgen","North West Leicestershire CC","","","£17,546.49","£0.00","","","","£91,371.40","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£108,917.89","","","","£19,217.51","£0.00","","Uncapped","£8,862.65","Uncapped","£145.50","£28,225.66","£137,143.55"
"Andrew George","St Ives CC","","","£21,173.44","£0.00","","","","£114,885.87","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£136,059.31","","","","£14,192.10","£0.00","","Uncapped","£11,047.90","Uncapped","£0.00","£25,240.00","£161,299.31"
"Andrew Griffiths","Burton CC","","","£8,723.21","£0.00","","","","£92,895.68","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£101,618.89","","","","£13,968.20","£0.00","","Uncapped","£3,553.96","Uncapped","£165.00","£17,687.16","£119,306.05"
"Andrew Gwynne","Denton and Reddish BC","","","£14,792.18","£0.00","","","","£108,961.40","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£123,753.58","","","","£19,087.67","£0.00","","Uncapped","£5,550.07","Uncapped","£0.00","£24,637.74","£148,391.32"
"Andrew Jones","Harrogate and Knaresborough CC","","","£21,172.23","£0.00","","","","£101,824.85","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£122,997.08","","","","£3,291.89","£0.00","","Uncapped","£9,343.18","Uncapped","£455.57","£13,090.64","£136,087.72"
"Andrew Lansley","South Cambridgeshire CC","","","£16,049.03","£0.00","","","","£85,052.91","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£101,101.94","","","","£4,144.25","£0.00","","Uncapped","£4,486.01","Uncapped","£0.00","£8,630.26","£109,732.20"
"Andrew Miller","Ellesmere Port and Neston CC","","","£13,151.78","£0.00","","","","£105,486.71","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£118,638.49","","","","£8,332.93","£0.00","","Uncapped","£9,693.97","Uncapped","£0.00","£18,026.90","£136,665.39"
"Andrew Mitchell","Sutton Coldfield BC","","","£17,428.16","£0.00","","","","£118,051.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£135,479.16","","","","£11,653.76","£0.00","","Uncapped","£4,697.50","Uncapped","£0.00","£16,351.26","£151,830.42"
"Andrew Murrison","South West Wiltshire CC","","","£18,789.98","£0.00","","","","£61,040.04","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£79,830.02","","","","£7,957.20","£0.00","","Uncapped","£3,982.35","Uncapped","£395.00","£12,334.55","£92,164.57"
"Andrew Percy","Brigg and Goole CC","","","£17,399.21","£0.00","","","","£106,489.38","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£123,888.59","","","","£17,282.28","£0.00","","Uncapped","£4,482.10","Uncapped","£0.00","£21,764.38","£145,652.97"
"Andrew Robathan","South Leicestershire CC","","","£1,817.26","£0.00","","","","£79,288.07","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£81,105.33","","","","£6,178.91","£0.00","","Uncapped","£4,631.60","Uncapped","£0.00","£10,810.51","£91,915.84"
"Andrew Rosindell","Romford BC","","","£24,393.21","£0.00","","","","£120,990.88","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£145,384.09","","","","£0.00","£0.00","","Uncapped","£2,396.00","Uncapped","£0.00","£2,396.00","£147,780.09"
"Andrew Selous","South West Bedfordshire CC","","","£17,765.87","£0.00","","","","£100,854.07","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£118,619.94","","","","£0.00","£0.00","","Uncapped","£742.10","Uncapped","£368.46","£1,110.56","£119,730.50"
"Andrew Smith","Oxford East BC","","","£19,424.52","£0.00","","","","£114,601.42","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£134,025.94","","","","£5,903.56","£0.00","","Uncapped","£2,560.55","Uncapped","£478.10","£8,942.21","£142,968.15"
"Andrew Stephenson","Pendle BC","","","£14,568.70","£0.00","","","","£110,333.57","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£124,902.27","","","","£10,830.58","£0.00","","Uncapped","£4,613.00","Uncapped","£0.00","£15,443.58","£140,345.85"
"Andrew Stunell","Hazel Grove CC","","","£20,166.24","£0.00","","","","£115,027.29","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£135,193.53","","","","£0.00","£0.00","","Uncapped","£2,294.10","Uncapped","£0.00","£2,294.10","£137,487.63"
"Andrew Turner","Isle of Wight CC","","","£18,419.26","£0.00","","","","£117,162.69","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£135,581.95","","","","£21,793.02","£0.00","","Uncapped","£6,332.54","Uncapped","£0.00","£28,125.56","£163,707.51"
"Andrew Tyrie","Chichester CC","","","£8,623.23","£0.00","","","","£114,952.93","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£123,576.16","","","","£19,900.00","£0.00","","Uncapped","£2,382.35","Uncapped","£0.00","£22,282.35","£145,858.51"
