MP name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,First part of the Postcode,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Startup spend,Remaining startup budget,Wind-up maximum budget available,Reason for budget set,Windup spend,Remaining windup budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Did the MP rent their accommodation from another MP during this financial year?,Accommodation spend,Remaining budget,First part of the Postcode,Travel/subsistence max budget,Travel/subs spend,Other costs maximum budget available,Other spend,Subtotal of other parliamentary costs,Overall total spend for this financial year
"Adam Afriyie","Windsor CC","£25,350.00","","£577.70","£24,772.30","","£144,000.00","","£89,343.39","£54,656.61","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£89,921.09","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£89,921.09"
"Adam Holloway","Gravesham CC","£22,750.00","","£21,419.33","£1,330.67","","£137,200.00","","£135,299.22","£1,900.78","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£156,718.55","","","","£0.00","£0.00","","Uncapped","£6,361.67","Uncapped","£0.00","£6,361.67","£163,080.22"
"Adrian Bailey","West Bromwich West BC","£22,750.00","","£17,551.45","£5,198.55","","£137,200.00","","£124,725.25","£12,474.75","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£142,276.70","£20,100.00","","","£18,312.95","£1,787.05","","Uncapped","£3,817.05","Uncapped","£0.00","£22,130.00","£164,406.70"
"Adrian Sanders","Torbay BC","£22,750.00","","£17,560.65","£5,189.35","","£137,200.00","","£135,008.32","£2,191.68","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£152,568.97","£20,100.00","","","£17,516.40","£2,583.60","","Uncapped","£8,609.12","Uncapped","£0.00","£26,125.52","£178,694.49"
"Aidan Burley","Cannock Chase CC","£24,702.00","","£21,295.33","£3,406.67","","£140,675.00","","£134,089.91","£6,585.09","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£155,385.24","£20,100.00","","","£19,769.99","£330.01","","Uncapped","£7,052.28","Uncapped","£0.00","£26,822.27","£182,207.51"
"Alan Beith","Berwick-upon-Tweed CC","£22,750.00","","£20,699.65","£2,050.35","","£137,200.00","","£135,007.82","£2,192.18","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£155,707.47","£20,100.00","","","£11,853.84","£8,246.16","","Uncapped","£12,589.14","Uncapped","£0.00","£24,442.98","£180,150.45"
"Alan Campbell","Tynemouth BC","£22,750.00","","£23,327.49","£0.00","","£137,200.00","","£82,528.52","£54,671.48","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£105,856.01","£8,850.00","","","£5,104.02","£3,745.98","","Uncapped","£13,550.40","Uncapped","£0.00","£18,654.42","£124,510.43"
"Alan Duncan","Rutland and Melton CC","£22,750.00","","£18,946.43","£3,803.57","","£137,200.00","","£124,747.69","£12,452.31","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£143,694.12","£8,850.00","","","£8,844.30","£5.70","","Uncapped","£2,695.28","Uncapped","£0.00","£11,539.58","£155,233.70"
"Alan Haselhurst","Saffron Walden CC","£22,750.00","","£17,413.61","£5,336.39","","£137,200.00","","£79,794.03","£57,405.97","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£97,207.64","£20,100.00","","","£14,398.29","£5,701.71","","Uncapped","£5,012.69","Uncapped","£0.00","£19,410.98","£116,618.62"
"Alan Johnson","Kingston upon Hull West and Hessle BC","£22,750.00","","£12,070.34","£10,679.66","","£137,200.00","","£130,826.46","£6,373.54","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£142,896.80","£22,525.00","","","£18,939.87","£3,585.13","","Uncapped","£6,591.19","Uncapped","£0.00","£25,531.06","£168,427.86"
"Alan Meale","Mansfield CC","£22,579.00","","£18,709.31","£3,869.69","","£137,200.00","","£120,931.48","£16,268.52","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£139,640.79","£8,850.00","","","£6,499.80","£2,350.20","","Uncapped","£12,867.86","Uncapped","£0.00","£19,367.66","£159,008.45"
"Alan Reid","Argyll and Bute CC","£24,709.00","","£24,709.04","£0.00","","£137,200.00","","£113,028.21","£24,171.79","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£137,737.25","","","","£13,531.45","£0.00","","Uncapped","£25,782.59","Uncapped","£0.00","£39,314.04","£177,051.29"
"Alan Whitehead","Southampton, Test BC","£22,750.00","","£22,732.95","£17.05","","£137,200.00","","£126,810.89","£10,389.11","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£149,543.84","£20,100.00","","","£20,097.17","£2.83","","Uncapped","£4,282.25","Uncapped","£0.00","£24,379.42","£173,923.26"
"Alasdair McDonnell","Belfast South","£22,750.00","","£22,682.84","£67.16","","£139,054.00","","£139,642.24","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£162,325.08","","","","£3,433.00","£0.00","","Uncapped","£18,029.64","Uncapped","£0.00","£21,462.64","£183,787.72"
"Albert Owen","Ynys Môn CC","£22,750.00","","£16,822.15","£5,927.85","","£137,200.00","","£134,841.80","£2,358.20","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£151,663.95","£20,100.00","","","£20,100.00","£0.00","","Uncapped","£7,890.64","Uncapped","£0.00","£27,990.64","£179,654.59"
"Alec Shelbrooke","Elmet and Rothwell CC","£22,750.00","","£13,748.96","£9,001.04","","£137,200.00","","£128,825.64","£8,374.36","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£142,574.60","£20,100.00","","","£20,124.45","£0.00","","Uncapped","£12,273.18","Uncapped","£0.00","£32,397.63","£174,972.23"
"Alex Cunningham","Stockton North BC","£22,750.00","","£12,716.90","£10,033.10","","£137,200.00","","£131,591.49","£5,608.51","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£144,308.39","£20,100.00","","","£18,736.93","£1,363.07","","Uncapped","£9,189.81","Uncapped","£0.00","£27,926.74","£172,235.13"
"Alison McGovern","Wirral South CC","£22,750.00","","£14,724.69","£8,025.31","","£137,200.00","","£134,551.36","£2,648.64","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£149,276.05","£22,525.00","","","£22,763.27","£0.00","","Uncapped","£11,003.36","Uncapped","£0.00","£33,766.63","£183,042.68"
"Alison Seabeck","Plymouth, Moor View BC","£22,750.00","","£12,781.48","£9,968.52","","£137,200.00","","£121,406.80","£15,793.20","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£134,188.28","£8,850.00","","","£5,859.17","£2,990.83","","Uncapped","£13,847.53","Uncapped","£0.00","£19,706.70","£153,894.98"
"Alistair Burt","North East Bedfordshire CC","£22,750.00","","£11,529.39","£11,220.61","","£139,175.00","","£135,019.66","£4,155.34","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£146,549.05","£20,100.00","","","£19,738.53","£361.47","","Uncapped","£5,001.50","Uncapped","£0.00","£24,740.03","£171,289.08"
"Alistair Carmichael","Orkney and Shetland CC","£22,750.00","","£21,709.68","£1,040.32","","£137,200.00","","£133,822.68","£3,377.32","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£155,532.36","£24,950.00","","","£12,396.00","£12,554.00","","Uncapped","£44,355.32","Uncapped","£160.00","£56,911.32","£212,443.68"
"Alistair Darling","Edinburgh South West BC","£22,750.00","","£15,254.02","£7,495.98","","£137,200.00","","£110,293.04","£26,906.96","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£125,547.06","£20,100.00","","","£19,896.00","£204.00","","Uncapped","£14,791.11","Uncapped","£0.00","£34,687.11","£160,234.17"
"Alok Sharma","Reading West CC","£22,750.00","","£18,692.25","£4,057.75","","£137,200.00","","£131,818.65","£5,381.35","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£150,510.90","","","","£271.04","£0.00","","Uncapped","£7,922.86","Uncapped","£0.00","£8,193.90","£158,704.80"
"Alun Cairns","Vale of Glamorgan CC","£22,750.00","","£19,383.65","£3,366.35","","£137,697.00","","£127,524.73","£10,172.27","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£146,908.38","£20,100.00","","","£19,528.44","£571.56","","Uncapped","£9,818.01","Uncapped","£0.00","£29,346.45","£176,254.83"
"Amber Rudd","Hastings and Rye CC","£22,750.00","","£16,650.18","£6,099.82","","£137,200.00","","£134,860.34","£2,339.66","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£151,510.52","£11,050.00","","","£10,046.68","£1,003.32","","Uncapped","£3,087.84","Uncapped","£0.00","£13,134.52","£164,645.04"
"Anas Sarwar","Glasgow Central BC","£22,750.00","","£22,392.18","£357.82","","£146,897.50","","£140,922.67","£5,974.83","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£163,314.85","£24,950.00","","","£24,759.40","£190.60","","Uncapped","£18,505.86","Uncapped","£0.00","£43,265.26","£206,580.11"
"Andrea Leadsom","South Northamptonshire CC","£22,750.00","","£17,344.48","£5,405.52","","£137,200.00","","£133,976.50","£3,223.50","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£151,320.98","","","","£0.00","£0.00","","Uncapped","£5,935.51","Uncapped","£0.00","£5,935.51","£157,256.49"
"Andrew Bingham","High Peak CC","£22,750.00","","£16,076.01","£6,673.99","","£137,338.00","","£111,447.76","£25,890.24","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£127,523.77","£20,100.00","","","£19,930.00","£170.00","","Uncapped","£5,788.25","Uncapped","£0.00","£25,718.25","£153,242.02"
"Andrew Bridgen","North West Leicestershire CC","£22,750.00","","£20,134.13","£2,615.87","","£137,200.00","","£95,861.64","£41,338.36","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£115,995.77","","","","£24,750.00","£0.00","","Uncapped","£8,668.93","Uncapped","£0.00","£33,418.93","£149,414.70"
"Andrew George","St Ives CC","£22,750.00","","£22,812.72","£0.00","","£137,200.00","","£132,819.77","£4,380.23","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£155,632.49","£20,100.00","","","£19,812.60","£287.40","","Uncapped","£14,233.57","Uncapped","£0.00","£34,046.17","£189,678.66"
"Andrew Griffiths","Burton CC","£22,750.00","","£20,533.60","£2,216.40","","£137,200.00","","£97,412.96","£39,787.04","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£117,946.56","","","","£17,536.78","£0.00","","Uncapped","£4,805.93","Uncapped","£0.00","£22,342.71","£140,289.27"
"Andrew Gwynne","Denton and Reddish BC","£22,750.00","","£16,365.47","£6,384.53","","£137,200.00","","£116,705.02","£20,494.98","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£133,070.49","£20,100.00","","","£19,393.26","£706.74","","Uncapped","£6,372.57","Uncapped","£0.00","£25,765.83","£158,836.32"
"Andrew Jones","Harrogate and Knaresborough CC","£22,750.00","","£22,205.61","£544.39","","£137,200.00","","£120,050.01","£17,149.99","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£142,255.62","£8,850.00","","","£2,912.10","£5,937.90","","Uncapped","£9,500.00","Uncapped","£0.00","£12,412.10","£154,667.72"
"Andrew Lansley","South Cambridgeshire CC","£22,750.00","","£19,225.37","£3,524.63","","£137,200.00","","£108,341.26","£28,858.74","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£127,566.63","","","","£5,490.00","£0.00","","Uncapped","£3,634.35","Uncapped","£0.00","£9,124.35","£136,690.98"
"Andrew Miller","Ellesmere Port and Neston CC","£22,750.00","","£14,623.64","£8,126.36","","£137,200.00","","£115,323.23","£21,876.77","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£129,946.87","£8,850.00","","","£6,550.94","£2,299.06","","Uncapped","£8,686.50","Uncapped","£0.00","£15,237.44","£145,184.31"
"Andrew Mitchell","Sutton Coldfield BC","£22,750.00","","£19,009.51","£3,740.49","","£137,200.00","","£137,589.04","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£156,598.55","£8,850.00","","","£3,144.98","£5,705.02","","Uncapped","£6,841.30","Uncapped","£0.00","£9,986.28","£166,584.83"
"Andrew Murrison","South West Wiltshire CC","£22,750.00","","£17,402.08","£5,347.92","","£137,200.00","","£67,048.65","£70,151.35","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£84,450.73","£8,850.00","","","£4,009.33","£4,840.67","","Uncapped","£1,637.30","Uncapped","£0.00","£5,646.63","£90,097.36"
"Andrew Percy","Brigg and Goole CC","£22,750.00","","£22,122.00","£628.00","","£137,200.00","","£134,734.09","£2,465.91","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£156,856.09","£20,100.00","","","£15,934.97","£4,165.03","","Uncapped","£6,429.34","Uncapped","£0.00","£22,364.31","£179,220.40"
"Andrew Robathan","South Leicestershire CC","£22,750.00","","£2,635.62","£20,114.38","","£137,200.00","","£80,585.07","£56,614.93","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£83,220.69","£8,850.00","","","£8,990.69","£0.00","","Uncapped","£3,942.59","Uncapped","£0.00","£12,933.28","£96,153.97"
"Andrew Rosindell","Romford BC","£25,350.00","","£24,687.58","£662.42","","£148,300.00","","£149,026.24","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£173,713.82","","","","£0.00","£0.00","","Uncapped","£2,799.43","Uncapped","£0.00","£2,799.43","£176,513.25"
"Andrew Selous","South West Bedfordshire CC","£22,750.00","","£20,205.33","£2,544.67","","£137,200.00","","£129,512.03","£7,687.97","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£149,717.36","","","","£0.00","£0.00","","Uncapped","£1,015.05","Uncapped","£0.00","£1,015.05","£150,732.41"
"Andrew Smith","Oxford East BC","£22,750.00","","£19,027.45","£3,722.55","","£137,200.00","","£135,657.02","£1,542.98","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£154,684.47","","","","£0.00","£0.00","","Uncapped","£4,342.85","Uncapped","£0.00","£4,342.85","£159,027.32"
