MP name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,First part of the Postcode,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Startup spend,Remaining startup budget,Wind-up maximum budget available,Reason for budget set,Windup spend,Remaining windup budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Did the MP rent their accommodation from another MP during this financial year?,Accommodation spend,Remaining budget,First part of the Postcode,Travel/subsistence max budget,Travel/subs spend,Other costs maximum budget available,Other spend,Subtotal of other parliamentary costs,Overall total spend for this financial year
"Adam Afriyie","Windsor CC","","","£0.00","£0.00","","","","£68,686.91","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£68,686.91","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£68,686.91"
"Adam Holloway","Gravesham CC","","","£6,557.16","£0.00","","","","£83,930.83","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£90,487.99","","","","£0.00","£0.00","","Uncapped","£1,992.79","Uncapped","£0.00","£1,992.79","£92,480.78"
"Adrian Bailey","West Bromwich West BC","","","£13,727.76","£0.00","","","","£85,656.24","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£99,384.00","","","","£7,659.16","£0.00","","Uncapped","£3,608.20","Uncapped","£0.00","£11,267.36","£110,651.36"
"Adrian Sanders","Torbay BC","","","£11,998.39","£0.00","","","","£91,257.53","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£103,255.92","","","","£12,348.04","£0.00","","Uncapped","£9,773.22","Uncapped","£223.20","£22,344.46","£125,600.38"
"Aidan Burley","Cannock Chase CC","","","£20,045.82","£0.00","","","","£98,629.18","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£118,675.00","","","","£9,812.41","£0.00","","Uncapped","£4,963.70","Uncapped","£0.00","£14,776.11","£133,451.11"
"Alan Beith","Berwick-upon-Tweed CC","","","£14,466.70","£0.00","","","","£88,941.88","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£103,408.58","","","","£9,623.32","£0.00","","Uncapped","£11,232.80","Uncapped","£90.30","£20,946.42","£124,355.00"
"Alan Campbell","Tynemouth BC","","","£14,751.00","£0.00","","","","£64,138.85","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£78,889.85","","","","£4,385.91","£0.00","","Uncapped","£9,818.96","Uncapped","£0.00","£14,204.87","£93,094.72"
"Alan Duncan","Rutland and Melton CC","","","£18,576.91","£0.00","","","","£92,065.43","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£110,642.34","","","","£16,041.67","£0.00","","Uncapped","£4,081.55","Uncapped","£0.00","£20,123.22","£130,765.56"
"Alan Haselhurst","Saffron Walden CC","","","£8,326.32","£0.00","","","","£67,477.59","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£75,803.91","","","","£10,366.77","£0.00","","Uncapped","£3,096.85","Uncapped","£0.00","£13,463.62","£89,267.53"
"Alan Johnson","Kingston upon Hull West and Hessle BC","","","£5,358.27","£0.00","","","","£82,034.05","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£87,392.32","","","","£7,455.72","£0.00","","Uncapped","£4,280.70","Uncapped","£0.00","£11,736.42","£99,128.74"
