MP name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,First part of the Postcode,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Startup spend,Remaining startup budget,Wind-up maximum budget available,Reason for budget set,Windup spend,Remaining windup budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Did the MP rent their accommodation from another MP during this financial year?,Accommodation spend,Remaining budget,First part of the Postcode,Travel/subsistence max budget,Travel/subs spend,Other costs maximum budget available,Other spend,Subtotal of other parliamentary costs,Overall total spend for this financial year
"Adam Afriyie","Windsor CC","£25,900.00","","£0.00","£25,900.00","","£145,500.00","","£101,185.46","£44,314.54","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£101,185.46","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£101,185.46"
"Adam Holloway","Gravesham CC","£23,250.00","","£10,099.41","£13,150.59","","£138,600.00","","£116,561.02","£22,038.98","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£126,660.43","","","","£0.00","£0.00","","Uncapped","£3,822.55","Uncapped","£0.00","£3,822.55","£130,482.98"
"Adrian Bailey","West Bromwich West BC","£23,250.00","","£20,452.29","£2,797.71","B70","£138,600.00","","£134,057.46","£4,542.54","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£154,509.75","£20,600.00","","No","£19,158.85","£1,441.15","1. SW1V2. SE17","Uncapped","£3,896.09","Uncapped","£0.00","£23,054.94","£177,564.69"
"Adrian Sanders","Torbay BC","£23,250.00","","£16,860.71","£6,389.29","TQ2","£138,600.00","","£132,346.18","£6,253.82","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£149,206.89","£20,600.00","","No","£17,954.03","£2,645.97","SW1V","Uncapped","£10,007.90","Uncapped","£0.00","£27,961.93","£177,168.82"
"Aidan Burley","Cannock Chase CC","£23,250.00","","£21,827.45","£1,422.55","WS11","£143,723.00","","£139,699.68","£4,023.32","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£161,527.13","£19,527.00","","No","£19,473.07","£53.93","SW1P","Uncapped","£7,911.97","Uncapped","£0.00","£27,385.04","£188,912.17"
"Alan Beith","Berwick-upon-Tweed CC","£23,250.00","","£22,714.68","£535.32","NE66","£138,600.00","","£136,451.39","£2,148.61","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£159,166.07","£20,600.00","","No","£12,318.95","£8,281.05","SW1","Uncapped","£13,975.44","Uncapped","£0.00","£26,294.39","£185,460.46"
"Alan Campbell","Tynemouth BC","£22,673.00","","£20,908.96","£1,764.04","NE30","£138,600.00","","£91,350.31","£47,249.69","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£112,259.27","£8,850.00","","","£5,470.17","£3,379.83","","Uncapped","£15,039.00","Uncapped","£0.00","£20,509.17","£132,768.44"
"Alan Duncan","Rutland and Melton CC","£23,250.00","","£20,218.77","£3,031.23","LE13","£138,600.00","","£135,402.60","£3,197.40","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£155,621.37","£8,850.00","","","£6,661.92","£2,188.08","","Uncapped","£293.50","Uncapped","£0.00","£6,955.42","£162,576.79"
"Alan Haselhurst","Saffron Walden CC","£23,250.00","","£15,375.71","£7,874.29","CB10","£138,600.00","","£107,441.17","£31,158.83","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£122,816.88","£20,600.00","","No","£16,215.46","£4,384.54","SW1V","Uncapped","£3,939.40","Uncapped","£0.00","£20,154.86","£142,971.74"
"Alan Johnson","Kingston upon Hull West and Hessle BC","£23,250.00","","£14,554.50","£8,695.50","HU3","£138,600.00","","£135,220.99","£3,379.01","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£149,775.49","£23,025.00","","No","£17,652.11","£5,372.89","SE19","Uncapped","£6,895.52","Uncapped","£0.00","£24,547.63","£174,323.12"
