MP name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,First part of the Postcode,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Startup spend,Remaining startup budget,Wind-up maximum budget available,Reason for budget set,Windup spend,Remaining windup budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Did the MP rent their accommodation from another MP during this financial year?,Accommodation spend,Remaining budget,First part of the Postcode,Travel/subsistence max budget,Travel/subs spend,Other costs maximum budget available,Other spend,Subtotal of other parliamentary costs,Overall total spend for this financial year
"Alistair Carmichael","Orkney and Shetland CC","","","£22,859.35","£0.00","","","","£116,687.01","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£139,546.36","","","","£12,396.00","£0.00","","Uncapped","£53,093.00","Uncapped","£0.00","£65,489.00","£205,035.36"
"Alistair Darling","Edinburgh South West BC","","","£16,142.70","£0.00","","","","£109,994.09","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£126,136.79","","","","£19,896.00","£0.00","","Uncapped","£12,363.58","Uncapped","£0.00","£32,259.58","£158,396.37"
"Alok Sharma","Reading West CC","","","£19,607.83","£0.00","","","","£112,716.09","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£132,323.92","","","","£0.00","£0.00","","Uncapped","£6,895.35","Uncapped","£0.00","£6,895.35","£139,219.27"
"Alun Cairns","Vale of Glamorgan CC","","","£19,767.48","£0.00","","","","£127,727.19","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£147,494.67","","","","£19,452.10","£0.00","","Uncapped","£12,073.13","Uncapped","£0.00","£31,525.23","£179,019.90"
"Alun Michael","Cardiff South and Penarth BC","","","£17,235.38","£0.00","","","","£61,843.18","£0.00","n/a","","£0.00","£0.00","n/a","","£49,299.34","£0.00","£128,377.90","","","","£13,683.95","£0.00","","Uncapped","£4,781.26","Uncapped","£75.00","£18,540.21","£146,918.11"
"Amber Rudd","Hastings and Rye CC","","","£15,928.76","£0.00","","","","£129,497.40","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£145,426.16","","","","£10,298.21","£0.00","","Uncapped","£2,686.27","Uncapped","£0.00","£12,984.48","£158,410.64"
"Anas Sarwar","Glasgow Central BC","","","£20,526.99","£0.00","","","","£125,148.04","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£145,675.03","","","","£24,652.02","£0.00","","Uncapped","£16,141.27","Uncapped","£0.00","£40,793.29","£186,468.32"
"Andrea Leadsom","South Northamptonshire CC","","","£12,545.04","£0.00","","","","£129,704.72","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£142,249.76","","","","£0.00","£0.00","","Uncapped","£3,226.83","Uncapped","£0.00","£3,226.83","£145,476.59"
"Andrew Bingham","High Peak CC","","","£12,020.38","£0.00","","","","£105,539.69","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£117,560.07","","","","£20,000.00","£0.00","","Uncapped","£5,570.50","Uncapped","£0.00","£25,570.50","£143,130.57"
"Andrew Bridgen","North West Leicestershire CC","","","£15,819.76","£0.00","","","","£97,724.17","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£113,543.93","","","","£10,307.66","£0.00","","Uncapped","£7,678.00","Uncapped","£0.00","£17,985.66","£131,529.59"
